"Reactions of gene from enzyme activities for itaconate production in yarrowia"	"Matches"
ACONITATE-DECARBOXYLASE-RXN	G-12153
TRANS-RXN1FV3-40	G1FV3-31373
TRANS-RXN1FV3-42	G1FV3-31373
RXN-13403	G1FV3-30464
RXN-8675	G1FV3-30464
UROPORIIIMETHYLTRANSA-RXN	G1FV3-30464
GLUC1PURIDYLTRANS-RXN	G1FV3-30514
H2PTEROATESYNTH-RXN	G1FV3-30525
RXN-15733	G1FV3-30525
H2PTERIDINEPYROPHOSPHOKIN-RXN	G1FV3-30525
RXN-10857	G1FV3-30525
H2NEOPTERINALDOL-RXN	G1FV3-30525
RXN-10975	G1FV3-30612
RXN-10965	G1FV3-30612
RXN-10977	G1FV3-30612
RXN-10978	G1FV3-30612
RXN-10964	G1FV3-30612
RXN-10976	G1FV3-30612
RXN-10963	G1FV3-30612
3.6.1.52-RXN	G1FV3-30612
RXN-16097	G1FV3-30625
RXN-14486	G1FV3-30625
RXN-16156	G1FV3-30625
RXN-13445	G1FV3-30625
RXN-12971	G1FV3-30625
RXN-16022	G1FV3-30625
RXN-17111	G1FV3-30625
RXN-16131	G1FV3-30625
RXN-12997	G1FV3-30625
RXN-16114	G1FV3-30625
RXN-14495	G1FV3-30625
PABASYN-RXN	G1FV3-30641
RXN-16112	G1FV3-30696
ESTRADIOL-17-BETA-DEHYDROGENASE-RXN	G1FV3-30696
RXN-16095	G1FV3-30696
RXN-16154	G1FV3-30696
RXN-13299	G1FV3-30696
RXN-13301	G1FV3-30696
RXN-12968	G1FV3-30696
RXN-13443	G1FV3-30696
RXN-16020	G1FV3-30696
RXN-12994	G1FV3-30696
RXN-13300	G1FV3-30696
RXN-16129	G1FV3-30696
RXN-17109	G1FV3-30696
RXN-13298	G1FV3-30696
RXN-14484	G1FV3-30696
RXN-14493	G1FV3-30696
RXN-7698	G1FV3-30696
PYRAMKIN-RXN	G1FV3-30775
PNKIN-RXN	G1FV3-30775
PYRIDOXKIN-RXN	G1FV3-30775
NICOTINAMIDE-N-METHYLTRANSFERASE-RXN	G1FV3-30817
GCVP-RXN	G1FV3-30828
DIHYDROFOLATESYNTH-RXN	G1FV3-30837
RXN-12263	G1FV3-30839
RXN-13162	G1FV3-30839
RXN66-281	G1FV3-30839
GTP-CYCLOHYDRO-I-RXN	G1FV3-30850
LUMAZINESYN-RXN	G1FV3-30922
ASNSYNA-RXN	G1FV3-30976
ASNSYNB-RXN	G1FV3-30976
PGPPHOSPHA-RXN	G1FV3-31002
RXN-13313	G1FV3-31002
R146-RXN	G1FV3-31015
R147-RXN	G1FV3-31015
3.4.24.64-RXN	G1FV3-31028
HISTCYCLOHYD-RXN	G1FV3-31075
HISTPRATPHYD-RXN	G1FV3-31075
HISTALDEHYD-RXN	G1FV3-31075
RXN-8001	G1FV3-31075
HISTOLDEHYD-RXN	G1FV3-31075
F16BDEPHOS-RXN	G1FV3-31076
5.3.1.23-RXN	G1FV3-31106
RXN-8352	G1FV3-31167
RXN3O-227	G1FV3-31167
RXN-4243	G1FV3-31167
TRANS-RXN-319	G1FV3-31172
3.2.1.33-RXN	G1FV3-31210
RXN-12391	G1FV3-31210
RXN-1828	G1FV3-31210
RXN-12193	G1FV3-31210
RXN-9023	G1FV3-31210
RXN-14261	G1FV3-31210
RXN-14260	G1FV3-31210
AMYLOMALT-RXN	G1FV3-31210
RXN-14354	G1FV3-31210
GLUTKIN-RXN	G1FV3-31216
NAD-SYNTH-GLN-RXN	G1FV3-31254
3.1.4.37-RXN	G1FV3-31261
RXN-12057	G1FV3-31261
RXN-12059	G1FV3-31261
RXN-12058	G1FV3-31261
RXN-12060	G1FV3-31261
NICOTINAMID-RXN	G1FV3-31299
1.1.3.37-RXN	G1FV3-31304
LTAA-RXN	G1FV3-31311
THREONINE-ALDOLASE-RXN	G1FV3-31311
NICOTINATEPRIBOSYLTRANS-RXN	G1FV3-29376
TRANS-RXN1FV3-20	G1FV3-29384
RXN-13416	G1FV3-29399
RXN-13417	G1FV3-29399
RXN-13415	G1FV3-29399
2.5.1.46-RXN	G1FV3-29399
RXN-13414	G1FV3-29399
RXN-13163	G1FV3-29427
RXN-8991	G1FV3-29427
3-ISOPROPYLMALISOM-RXN	G1FV3-29427
RIBOFLAVINKIN-RXN	G1FV3-29448
RXN-18510	G1FV3-29448
RXN-15513	G1FV3-29486
RXN-15509	G1FV3-29486
RXN-15511	G1FV3-29486
RXN-15510	G1FV3-29486
RXN-15512	G1FV3-29486
1.13.11.6-RXN	G1FV3-29492
1.1.1.8-RXN	G1FV3-29496
TRANS-RXN1FV3-21	G1FV3-29512
ATPSYN-RXN	G1FV3-29537 // G1FV3-30830
ALANINE--TRNA-LIGASE-RXN	G1FV3-29546
RXN66-579	G1FV3-29552
MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	G1FV3-29552
RXN66-304	G1FV3-29588
RXN66-305	G1FV3-29588
RXN-13707	G1FV3-29588
RXN66-11	G1FV3-29588
RXN66-13	G1FV3-29588
RXN66-12	G1FV3-29588
RXN-11881	G1FV3-29588
RXN-13961	G1FV3-29588
RXN3O-130	G1FV3-29588
RXN66-303	G1FV3-29588
1.14.13.70-RXN	G1FV3-29588
RXN-14325	G1FV3-29599
CTPSYN-RXN	G1FV3-29599
PANTOATE-BETA-ALANINE-LIG-RXN	G1FV3-29627
RIB5PISOM-RXN	G1FV3-29669
GLYCEROL-2-DEHYDROGENASE-NADP+-RXN	G1FV3-29677
2-ISOPROPYLMALATESYN-RXN	G1FV3-29692
1.8.4.8-RXN	G1FV3-29718
RXN-12019	G1FV3-29718
RXN-12720	G1FV3-29720
SULFATE-ADENYLYLTRANS-RXN	G1FV3-29720
DIOHBUTANONEPSYN-RXN	G1FV3-29754
PYRROLINECARBDEHYDROG-RXN	G1FV3-29785
RXN-14116	G1FV3-29785
RXN-16558	G1FV3-29821
RXN-17785	G1FV3-29821
RXN-17797	G1FV3-29821
RXN-17114	G1FV3-29821
RXN-16135	G1FV3-29821
RXN-17780	G1FV3-29821
RXN-17793	G1FV3-29821
RXN-17789	G1FV3-29821
RXN-17776	G1FV3-29821
TIGLYLCOA-HYDROXY-RXN	G1FV3-29821
RXN-13616	G1FV3-29821
RXN-2425	G1FV3-29821
RXN0-5393	G1FV3-29821
METHYLACYLYLCOA-HYDROXY-RXN	G1FV3-29821
RXN-14272	G1FV3-29821
RXN-12567	G1FV3-29821
RXN-902	G1FV3-29821
RXN-14273	G1FV3-29821
RXN-14266	G1FV3-29821
RXN-10705	G1FV3-29821
RXN-10704	G1FV3-29821
RXN-10697	G1FV3-29821
RXN-11244	G1FV3-29821
RXN-17475	G1FV3-29821
ENOYL-COA-HYDRAT-RXN	G1FV3-29821
RXN-11667	G1FV3-29821
RXN-11376	G1FV3-29854
SPHINGANINE-KINASE-RXN	G1FV3-29854
RXN3O-458	G1FV3-29854
RXN3DJ-11417	G1FV3-29854
RXN-7186	G1FV3-29860
RXN-7184	G1FV3-29860
2.7.1.140-RXN	G1FV3-29860
RXN-13197	G1FV3-29860
2.7.1.151-RXN	G1FV3-29860
RXN-7162	G1FV3-29860
RXN-10948	G1FV3-29860
ORNDECARBOX-RXN	G1FV3-29862
1.5.1.15-RXN	G1FV3-29895
RXN-14304	G1FV3-29954
5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN	G1FV3-29954
RXN-15740	G1FV3-29978
RXN0-5260	G1FV3-29978
RXN-15745	G1FV3-29978
RXN66-546	G1FV3-29997
PYRROLINECARBREDUCT-RXN	G1FV3-29997
1.5.1.20-RXN	G1FV3-30000 // G1FV3-29391
S-ADENMETSYN-RXN	G1FV3-30002
RXN-11277	G1FV3-30003
METHYLCROTONYL-COA-CARBOXYLASE-RXN	G1FV3-30008
RIBOSYLNICOTINAMIDE-KINASE-RXN	G1FV3-30013
RXN-8443	G1FV3-30013
RXN-13685	G1FV3-30018
RXN-14223	G1FV3-30022
RIBOKIN-RXN	G1FV3-30022
PRPPAMIDOTRANS-RXN	G1FV3-30040
1.5.1.7-RXN	G1FV3-30047
RXN-3341	G1FV3-30054
RXN-9952	G1FV3-30054
RXN-9282	G1FV3-30067
RXN-9287	G1FV3-30067
2.1.1.114-RXN	G1FV3-30067
RXN-9281	G1FV3-30067
RXN-9280	G1FV3-30067
RXN3O-102	G1FV3-30067
RXN-11757	G1FV3-30067
RXN-9237	G1FV3-30067
RXN-9229	G1FV3-30067
DHHB-METHYLTRANSFER-RXN	G1FV3-30067
2.1.1.64-RXN	G1FV3-30067
RXN-11758	G1FV3-30067
MEVALONATE-KINASE-RXN	G1FV3-30074
GMP-SYN-NH3-RXN	G1FV3-30077
GMP-SYN-GLUT-RXN	G1FV3-30077
RXN-3701	G1FV3-30078
1.1.1.289-RXN	G1FV3-30081
PREPHENATEDEHYDRAT-RXN	G1FV3-30134
AICARSYN-RXN	G1FV3-30137
AMPSYN-RXN	G1FV3-30137
RXN66-314	G1FV3-30148
1.1.1.270-RXN	G1FV3-30148
RXN66-19	G1FV3-30148
RXN66-319	G1FV3-30148
RXN-13686	G1FV3-30148
RXN66-24	G1FV3-30148
RXN-15005	G1FV3-30149
RXN-15006	G1FV3-30149
ACETYLGLUTKIN-RXN	G1FV3-30149
N-ACETYLGLUTPREDUCT-RXN	G1FV3-30149
3-DEHYDROSPHINGANINE-REDUCTASE-RXN	G1FV3-30150
RXN-12645	G1FV3-30150
RXN-12642	G1FV3-30150
TRANS-RXN1FV3-24	G1FV3-30161
3.2.1.6-RXN	G1FV3-30163
MANNPISOM-RXN	G1FV3-30180
ADENYLATECYC-RXN	G1FV3-30199
RXN-15635	G1FV3-30206
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	G1FV3-30206
RXN-9557	G1FV3-30227 // G1FV3-30029
RXN-9530	G1FV3-30227 // G1FV3-30029
RXN-9534	G1FV3-30227 // G1FV3-30029
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	G1FV3-30227 // G1FV3-30029
RXN1G-320	G1FV3-30227 // G1FV3-30029
RXN1G-363	G1FV3-30227 // G1FV3-30029
4.2.1.58-RXN	G1FV3-30227 // G1FV3-30029
RXN-10061	G1FV3-30227 // G1FV3-30029
RXN-9655	G1FV3-30227 // G1FV3-30029
RXN-9533	G1FV3-30227 // G1FV3-30029
RXN-9520	G1FV3-30227 // G1FV3-30029
RXN1G-517	G1FV3-30227 // G1FV3-30029
RXN-9537	G1FV3-30227 // G1FV3-30029
4.2.1.59-RXN	G1FV3-30227 // G1FV3-30029
4.2.1.61-RXN	G1FV3-30227 // G1FV3-30029
RXN-9553	G1FV3-30227 // G1FV3-30029
RXN-9634	G1FV3-30227 // G1FV3-30029
ENOYL-ACP-REDUCT-NADPH-RXN	G1FV3-30227 // G1FV3-30029
RXN-9648	G1FV3-30227 // G1FV3-30029
RXN-9515	G1FV3-30227 // G1FV3-30029
RXN-9652	G1FV3-30227 // G1FV3-30029
RXN-9653	G1FV3-30227 // G1FV3-30029
RXN-9650	G1FV3-30227 // G1FV3-30029
MALONYL-COA-ACP-TRANSACYL-RXN	G1FV3-30227 // G1FV3-30029
RXN-9654	G1FV3-30227 // G1FV3-30029
RXN3O-5304	G1FV3-30227 // G1FV3-30029
RXN-9521	G1FV3-30227 // G1FV3-30029
RXN-9542	G1FV3-30227 // G1FV3-30029
RXN-9526	G1FV3-30227 // G1FV3-30029
RXN-9538	G1FV3-30227 // G1FV3-30029
RXN3O-5293	G1FV3-30227 // G1FV3-30029
ACP-S-ACETYLTRANSFER-RXN	G1FV3-30227 // G1FV3-30029
FATTY-ACYL-COA-SYNTHASE-RXN	G1FV3-30227 // G1FV3-30029
RXN-9651	G1FV3-30227 // G1FV3-30029
GLUTAMATE-SYNTHASE-NADH-RXN	G1FV3-30251
GLUTAMATESYN-RXN	G1FV3-30251
RXN-16153	G1FV3-30259
RXN-13297	G1FV3-30259
RXN-13295	G1FV3-30259
RXN-13296	G1FV3-30259
RXN-7697	G1FV3-30259
RXN-13441	G1FV3-30259
RXN-16094	G1FV3-30259
RXN-13322	G1FV3-30259
RXN-9543	G1FV3-30259
RXN-13294	G1FV3-30259
RXN-14492	G1FV3-30259
RXN0-5114	G1FV3-30270
PSERPHOSPHA-RXN	G1FV3-30270
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	G1FV3-30318
RXN-10815	G1FV3-30339
4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN	G1FV3-30339
3.6.3.6-RXN	G1FV3-30348
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN	G1FV3-30371
3-HYDROXY-KYNURENINASE-RXN	G1FV3-30387
KYNURENINASE-RXN	G1FV3-30387
AIRCARBOXY-RXN	G1FV3-30401
RXN66-14	G1FV3-30406
RXN66-306	G1FV3-30406
