Gene	enzyme_activities
YALI0E03212g	0.0
YALI0D09273g	5.418
YALI0C06446g	0.0
YALI0E21307g	0.0
YALI0C01411g	0.0
YALI0E21021g	0.0
YALI0C14190g	0.0
YALI0F05192g	0.0
YALI0E18964g	0.0
YALI0F19514g	0.0
YALI0D17534g	0.0
YALI0F10010g	0.0
YALI0E29161g	0.0
YALI0B09647g	0.0
YALI0A14498g	0.0
YALI0D16797g	0.0
YALI0F12199g	0.0
YALI0D06501g	0.0
YALI0C09636g	0.0
YALI0C00253g	0.0
YALI0A02541g	0.0
YALI0E28787g	0.0
YALI0E08360g	0.0
YALI0E20977g	0.0
YALI0F20900g	0.0
YALI0C06952g	0.0
YALI0B20020g	0.0
YALI0B15884g	0.0
YALI0F27247g	0.0
YALI0C18205g	0.0
YALI0E15224g	0.0
YALI0F27313g	0.0
YALI0B15664g	0.0
YALI0A09042g	0.0
YALI0B01364g	0.0
YALI0B07447g	0.0
YALI0E02728g	0.0
YALI0E00638g	1.133
YALI0E02684g	1.133
YALI0D01265g	0.0
YALI0F27665g	0.0
YALI0A08041g	0.0
YALI0E32527g	0.0
YALI0B08965g	0.0
YALI0F12639g	0.0
YALI0B17688g	0.0
YALI0B22902g	0.0
YALI0E15378g	0.0
YALI0B02852g	0.0
YALI0C00407g	0.0
YALI0D10131g	0.0
YALI0D06930g	0.0
YALI0B18898g	0.0
YALI0A05379g	0.0
YALI0D16269g	0.0
YALI0E18238g	0.0
YALI0F23221g	0.531
YALI0A04675g	0.0
YALI0B13464g	0.0
YALI0F14025g	0.0
YALI0B13420g	0.0
YALI0F26785g	0.0
YALI0E11913g	0.0
YALI0F30019g	0.0
YALI0B14465g	0.0
YALI0B00572g	0.0
YALI0C06083g	0.0
YALI0D01309g	0.0
YALI0E12683g	0.0
YALI0C20427g	0.0
YALI0A16698g	0.0
YALI0F27885g	0.0
YALI0C19085g	0.0
YALI0E11671g	0.0
YALI0D03135g	0.0
YALI0E18590g	0.0
YALI0D14850g	0.0
YALI0F29975g	0.0
