!!SBtab TableType='Compound' TableName='Compound Formation Energies pH=5.0'
!Identifiers:kegg.compound,!Compound,transformed standard Gibbs free energy of formation [kJ/mol],pH,ionic strength [M],temperature [K],!Comment
C00001,H2O,-178.90000000000001,5.0,0.1,298.15,
C00002,ATP,-2438.5,5.0,0.1,298.15,
C00003,NAD+,756.89999999999998,5.0,0.1,298.15,
C00004,NADH,806.89999999999998,5.0,0.1,298.15,
C00005,NADPH,-61.399999999999999,5.0,0.1,298.15,
C00006,NADP+,-112.3,5.0,0.1,298.15,
C00007,Oxygen,16.399999999999999,5.0,0.1,298.15,
C00008,ADP,-1571.0,5.0,0.1,298.15,
C00009,Orthophosphate,-1079.7,5.0,0.1,298.15,
C00010,CoA,874.70000000000005,5.0,0.1,298.15,
C00011,CO2,-386.0,5.0,0.1,298.15,
C00013,Diphosphate,-1956.5999999999999,5.0,0.1,298.15,
C00014,NH3,36.600000000000001,5.0,0.1,298.15,
C00016,FAD,900.79999999999995,5.0,0.1,298.15,
C00020,AMP,-701.0,5.0,0.1,298.15,
C00022,Pyruvate,-385.5,5.0,0.1,298.15,
C00024,Acetyl-CoA,792.29999999999995,5.0,0.1,298.15,
C00025,L-Glutamate,-465.0,5.0,0.1,298.15,
C00026,2-Oxoglutarate,-679.29999999999995,5.0,0.1,298.15,
C00027,Hydrogen peroxide,-75.799999999999997,5.0,0.1,298.15,
C00031,D-Glucose,-566.29999999999995,5.0,0.1,298.15,
C00033,Acetate,-283.30000000000001,5.0,0.1,298.15,
C00036,Oxaloacetate,-737.5,5.0,0.1,298.15,
C00037,Glycine,-234.19999999999999,5.0,0.1,298.15,
C00041,L-Alanine,-167.0,5.0,0.1,298.15,
C00042,Succinate,-578.89999999999998,5.0,0.1,298.15,
C00048,Glyoxylate,-440.10000000000002,5.0,0.1,298.15,
C00049,L-Aspartate,-521.70000000000005,5.0,0.1,298.15,
C00051,Glutathione,452.10000000000002,5.0,0.1,298.15,
C00058,Formate,-322.5,5.0,0.1,298.15,
C00059,Sulfate,-747.0,5.0,0.1,298.15,
C00061,FMN,551.20000000000005,5.0,0.1,298.15,
C00064,L-Glutamine,-236.69999999999999,5.0,0.1,298.15,
C00065,L-Serine,-306.89999999999998,5.0,0.1,298.15,
C00067,Formaldehyde,-63.200000000000003,5.0,0.1,298.15,
C00073,L-Methionine,-182.40000000000001,5.0,0.1,298.15,
C00074,Phosphoenolpyruvate,-1218.8,5.0,0.1,298.15,
C00078,L-Tryptophan,234.90000000000001,5.0,0.1,298.15,
C00079,L-Phenylalanine,113.40000000000001,5.0,0.1,298.15,
C00080,H+,0.0,5.0,0.1,298.15,
C00082,L-Tyrosine,-50.200000000000003,5.0,0.1,298.15,
C00084,Acetaldehyde,-22.5,5.0,0.1,298.15,
C00085,D-Fructose 6-phosphoric acid,-1447.9000000000001,5.0,0.1,298.15,
C00086,Urea,-86.299999999999997,5.0,0.1,298.15,
C00087,Sulfur,0.0,5.0,0.1,298.15,
C00088,Nitrite,-32.799999999999997,5.0,0.1,298.15,
C00089,Sucrose,-923.70000000000005,5.0,0.1,298.15,
C00091,Succinyl-CoA,494.89999999999998,5.0,0.1,298.15,
C00092,Glucose 6-phosphate,-1451.8,5.0,0.1,298.15,
C00093,sn-Glycerol 3-phosphate,-1164.7,5.0,0.1,298.15,
C00094,Sulfite,-499.30000000000001,5.0,0.1,298.15,
C00095,D-arabino-Hexulose,-565.89999999999998,5.0,0.1,298.15,
C00097,L-Cysteine,-134.90000000000001,5.0,0.1,298.15,
C00100,Propanoyl-CoA,860.0,5.0,0.1,298.15,
C00103,Cori ester,-1445.2,5.0,0.1,298.15,
C00104,IDP,-1814.9000000000001,5.0,0.1,298.15,
C00111,Glycerone phosphate,-1155.5999999999999,5.0,0.1,298.15,
C00116,Glycerol,-264.39999999999998,5.0,0.1,298.15,
C00117,D-Ribose-5-phosphate,-1343.3,5.0,0.1,298.15,
C00118,D-Glyceraldehyde 3-phosphate,-1148.0,5.0,0.1,298.15,
C00119,5-Phospho-alpha-D-ribose 1-diphosphate,-3077.9000000000001,5.0,0.1,298.15,
C00121,D-Ribose,-447.39999999999998,5.0,0.1,298.15,
C00122,Fumarate,-546.39999999999998,5.0,0.1,298.15,
C00123,L-Leucine,26.5,5.0,0.1,298.15,
C00124,D-Galactose,-559.29999999999995,5.0,0.1,298.15,
C00125,Ferricytochrome c,-5.5,5.0,0.1,298.15,
C00126,Ferrocytochrome c,-27.0,5.0,0.1,298.15,
C00127,Glutathione disulfide,871.70000000000005,5.0,0.1,298.15,
C00130,IMP,-944.89999999999998,5.0,0.1,298.15,
C00132,Methanol,-58.799999999999997,5.0,0.1,298.15,
C00138,Reduced ferredoxin,38.100000000000001,5.0,0.1,298.15,
C00139,Oxidized ferredoxin,-0.59999999999999998,5.0,0.1,298.15,
C00147,Adenine,456.0,5.0,0.1,298.15,
C00149,(S)-Malate,-729.79999999999995,5.0,0.1,298.15,
C00152,L-Asparagine,-292.80000000000001,5.0,0.1,298.15,
C00158,Citrate,-1027.5999999999999,5.0,0.1,298.15,
C00159,D-Mannose,-560.39999999999998,5.0,0.1,298.15,
C00160,Glycolate,-444.19999999999999,5.0,0.1,298.15,
C00164,Acetoacetate,-337.39999999999998,5.0,0.1,298.15,
C00168,Hydroxypyruvate,-521.79999999999995,5.0,0.1,298.15,
C00169,Carbamoyl phosphate,-1196.2,5.0,0.1,298.15,
C00181,D-Xylose,-459.10000000000002,5.0,0.1,298.15,
C00183,L-Valine,-38.100000000000001,5.0,0.1,298.15,
C00184,Glycerone,-276.19999999999999,5.0,0.1,298.15,
C00185,Cellobiose,-944.89999999999998,5.0,0.1,298.15,
C00186,(S)-Lactate,-371.60000000000002,5.0,0.1,298.15,
C00188,L-Threonine,-266.69999999999999,5.0,0.1,298.15,
C00197,3-Phospho-D-glycerate,-1402.3,5.0,0.1,298.15,
C00198,"D-Glucono-1,5-lactone",-612.10000000000002,5.0,0.1,298.15,
C00199,D-Ribulose-5-phosphate,-1342.9000000000001,5.0,0.1,298.15,
