	fluxes	reduced_costs
xAMINOACID	0.0	-16.06794123836565
xBIOMASS	0.0	-2.220446049250313e-15
xLIPID	0.0	0.0
xMAINTENANCE	2.26534046599445	0.0
xPOOL_AC_EM	0.0	1.457167719820518e-15
xPOOL_AC_LP	0.0	1.457167719820518e-15
xPOOL_AC_MM	0.0	4.440892098500626e-16
xPOOL_FA_EM	0.0	-2.896988204881268e-16
xPOOL_FA_EN	0.0	4.440892098500626e-16
xPOOL_FA_LP	0.0	8.881784197001252e-16
xPOOL_FA_MI	0.0	0.0
xPOOL_FA_MM	0.0	-2.220446049250313e-16
y000001	0.0	0.0
y000002	0.0	-2.7755575615628914e-17
y000004	0.0	-2.7755575615628914e-17
y000005	0.0	0.0
y000006	0.0	-2.3337483411090343
y000007	0.0	0.0
y000008	0.0	0.0
y000009	0.0	0.0
y000010	0.0	-0.041044725068750676
y000012	0.0	-0.0
y000013	0.0	0.0
y000014	0.0	0.0
y000015	0.0	-3.469446951953614e-18
y000016	0.0	0.0
y000017	0.0	0.0
y000018	0.0	0.0
y000019	0.0	-2.7003871885731487
y000020	0.0	0.0
y000021	0.0	-0.7305140167736116
y000022	0.0	0.0
y000023	-4.04868308942193e-17	-0.0
y000024	4.04868308942193e-17	1.5543122344752192e-15
y000025	0.0	-0.013681575022913672
y000027	0.0	0.0
y000028	0.0	5.551115123125783e-17
y000029	0.0	-0.013681575022916892
y000030	7.5541789623255e-18	-5.551115123125783e-17
y000032	0.0	0.0
y000033	0.0	0.0
y000034	0.0	0.0
y000035	0.0	0.0
y000036	0.0	-0.10945260018333203
y000037	0.0	0.0
y000038	0.0	0.0
y000039	0.0	0.0
y000040	0.0	-1.3877787807814457e-17
y000041	0.0	-1.3877787807814457e-17
y000042	0.0	-0.013681575022915587
y000045	0.0	0.0
y000057	0.0	0.0
y000058	0.0	0.0
y000060	-7.5541789623255e-18	-0.0
y000061	7.5541789623255e-18	0.0
y000062	0.0	-2.0902436688511594
y000063	0.0	0.0
y000064	0.0	-2.6155340602810195
y000065	0.0	-1.249000902703301e-16
y000066	0.0	-2.943891860831024
y000067	0.0	0.0
y000068	0.0	0.0
y000069	0.0	0.0
y000072	0.0	0.0
y000073	0.0	-1.3877787807814457e-17
y000074	0.0	-1.3322676295501878e-15
y000075	0.0	-3.3543391115185264
y000076	0.0	-0.041044725068749344
y000077	0.0	-0.06840787511458227
y000078	0.0	-0.041044725068749344
y000079	-1.2255324004983893e-15	0.0
y000080	0.0	0.0
y000081	0.0	-1.8535797841047472
y000082	0.0	1.304512053934559e-15
y000083	0.0	-0.041044725068750676
y000084	0.0	-0.3501935942865768
y000085	0.0	0.0
y000086	0.0	0.0
y000087	0.0	0.0
y000088	0.0	1.3877787807814457e-17
y000089	0.0	1.3877787807814457e-17
y000090	0.0	0.0
y000091	0.0	0.0
y000092	0.0	-1.3877787807814457e-17
y000093	0.0	-1.3322676295501878e-15
y000095	0.0	-6.661338147750939e-16
y000096	7.5541789623255e-18	1.6653345369377348e-16
y000097	7.5541789623255e-18	0.0
y000099	0.0	-0.0
y000100	0.0	0.0
y000101	0.0	2.220446049250313e-16
