ID	Name	Pathways	Reactions	
G1FV3-25800	idp1	NAD/NADP-NADH/NADPH cytosolic interconversion (yeast), TCA cycle variation III (eukaryotic)	D-<i>threo</i>-isocitrate + NADP<sup>+</sup>  &harr;  2-oxoglutarate + CO<SUB>2</SUB> + NADPH, D-<i>threo</i>-isocitrate + NADP<sup>+</sup>  &harr;  oxalosuccinate + NADPH + H<SUP>+</SUP>, oxalosuccinate + H<SUP>+</SUP>  &harr;  2-oxoglutarate + CO<SUB>2</SUB>	
G1FV3-24844	mae1	chitin degradation to ethanol, L-malate degradation II, gluconeogenesis I, Glycolysis/PPP/TCA	oxaloacetate + H<SUP>+</SUP>  &rarr;  pyruvate + CO<SUB>2</SUB>, (<i>S</i>)-malate + NAD<sup>+</sup>  &rarr;  pyruvate + CO<SUB>2</SUB> + NADH, (<i>S</i>)-malate + NADP<sup>+</sup>  &rarr;  CO<SUB>2</SUB> + pyruvate + NADPH	
G1FV3-30424	YALI0A00264g	tRNA charging	a tRNA<SUP>Ile</SUP> + L-isoleucine + ATP  &rarr;  an L-isoleucyl-[tRNA<SUP>Ile</SUP>] + AMP + diphosphate	
G1FV3-30463	YALI0A01111g			
G1FV3-30464	YALI0A01133g	siroheme biosynthesis	2 <i>S</i>-adenosyl-L-methionine + uroporphyrinogen-III  &rarr;  2 <i>S</i>-adenosyl-L-homocysteine + precorrin-2 + H<SUP>+</SUP>, <i>S</i>-adenosyl-L-methionine + uroporphyrinogen-III  &rarr;  <i>S</i>-adenosyl-L-homocysteine + precorrin-1 + H<SUP>+</SUP>, <i>S</i>-adenosyl-L-methionine + precorrin-1  &rarr;  <i>S</i>-adenosyl-L-homocysteine + precorrin-2	
G1FV3-30514	YALI0A02310g	UDP-&alpha;-D-glucose biosynthesis I	&alpha;-D-glucopyranose 1-phosphate + UTP + H<SUP>+</SUP>  &rarr;  UDP-&alpha;-D-glucose + diphosphate	
G1FV3-30522	YALI0A02453g	3-phosphoinositide biosynthesis, D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis	a 1-phosphatidyl-1D-<i>myo</i>-inositol + ATP  &rarr;  a 1-phosphatidyl-1D-<i>myo</i>-inositol 4-phosphate + ADP + H<SUP>+</SUP>	
G1FV3-30525	YALI0A02541g	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I, tetrahydrofolate biosynthesis	7,8-dihydroneopterin  &rarr;  glycolaldehyde + 6-(hydroxymethyl)-7,8-dihydropterin, 7,8-dihydromonapterin  &rarr;  glycolaldehyde + 6-(hydroxymethyl)-7,8-dihydropterin, 2-amino-6-[1-hydroxyethyl]-7-methyl-7,8-dihydropterin + ATP  =  [1-(2-amino-7-methyl-4-oxo-7,8-dihydro-3H-pteridin-6-yl)]ethyl diphosphate + AMP + H<SUP>+</SUP>, 6-(hydroxymethyl)-7,8-dihydropterin + ATP  &rarr;  (7,8-dihydropterin-6-yl)methyl diphosphate + AMP + H<SUP>+</SUP>, (7,8-dihydropterin-6-yl)methyl diphosphate + 4-aminobenzoate  &rarr;  7,8-dihydropteroate + diphosphate	
G1FV3-30540	YALI0A02915g	aerobic respiration I (cytochrome c), aerobic respiration II (cytochrome c) (yeast)	2 a reduced CycA1 cytochrome<SUB>[out]</SUB> + a ubiquinone<SUB>[membrane]</SUB> + 4 H<SUP>+</SUP><SUB>[in]</SUB>  &rarr;  2 an oxidized CycA1 cytochrome<SUB>[out]</SUB> + an ubiquinol<SUB>[membrane]</SUB> + 2 H<SUP>+</SUP><SUB>[out]</SUB>, 2 an oxidized <i>c</i>-type cytochrome<SUB>[out]</SUB> + an ubiquinol<SUB>[membrane]</SUB>  &rarr;  2 a reduced <i>c</i>-type cytochrome<SUB>[out]</SUB> + a ubiquinone<SUB>[membrane]</SUB> + 2 H<SUP>+</SUP><SUB>[out]</SUB>, 2 an oxidized <i>c</i>-type cytochrome<SUB>[out]</SUB> + an electron-transfer quinol<SUB>[membrane]</SUB>  &rarr;  2 a reduced <i>c</i>-type cytochrome<SUB>[out]</SUB> + an electron-transfer quinone<SUB>[membrane]</SUB> + 2 H<SUP>+</SUP><SUB>[in]</SUB>, 2 an oxidized <i>c</i>-type cytochrome<SUB>[out]</SUB> + a menaquinol<SUB>[membrane]</SUB>  &rarr;  2 a reduced <i>c</i>-type cytochrome<SUB>[out]</SUB> + a menaquinone<SUB>[membrane]</SUB> + 2 H<SUP>+</SUP><SUB>[in]</SUB>	
G1FV3-30550	YALI0A03135g			
