$YarrowiaCycRxn	RxnId	citric acid_idp1_FEB189	citric acid_mae1_FEB188	citric acid_wild-type_FKP391	citric acid_zwf1_FEB184	glucose_idp1_FEB189	glucose_mae1_FEB188	glucose_wild-type_FKP391	glucose_zwf1_FEB184	malic acid_idp1_FEB189	malic acid_mae1_FEB188	malic acid_wild-type_FKP391	malic acid_zwf1_FEB184
RXN-14971 //  RXN-15378 //  SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	SUCD2_u6m	0.82	4.234	3.955	0.823	2.008	0.469	0.185	3.78	0.0	0.0	-0.0	0.0
F16BDEPHOS-RXN	FBP	0.175	0.461	0.455	0.095	0.0	0.0	0.0	0.0	0.317	0.547	0.637	0.21
RIB5PISOM-RXN	RPI	0.064	0.176	0.168	0.035	16.606	21.576	27.362	12.443	0.166	0.209	0.235	0.077
RXN-9952 //  RXN-3341 //  6PGLUCONDEHYDROG-RXN	GND	-0.0	0.0	0.0	0.0	2.136	3.814	5.365	0.0	0.232	0.0	-0.0	0.0
GAPOXNPHOSPHN-RXN	GAPD	-0.406	-1.087	-1.057	-0.22	55.932	74.955	88.017	40.033	-0.634	-1.289	-1.481	-0.487
FUMHYDR-RXN	FUM	0.062	0.159	0.16	0.033	0.19	0.468	0.695	0.091	-94.158	-87.691	-86.726	-95.637
FUMHYDR-RXN	FUMm	0.82	4.234	3.955	0.823	2.008	0.344	0.0	3.756	0.0	0.0	-0.0	0.0
RIBULP3EPIM-RXN	RPE	-0.064	-0.176	-0.168	-0.035	-14.47	-17.762	-21.997	-12.443	0.066	-0.209	-0.235	-0.077
6PGLUCONOLACT-RXN	PGL	0.0	0.0	0.0	0.0	2.136	3.814	5.365	0.0	0.232	0.0	0.0	0.0
SUCCINATE--COA-LIGASE-GDP-FORMING-RXN //  RXN-8988 //  SUCCCOASYN-RXN	ITCOALm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SUCCINATE--COA-LIGASE-GDP-FORMING-RXN //  RXN-8988 //  SUCCCOASYN-RXN	y001022	0.82	4.234	3.955	0.823	1.939	0.344	0.0	3.756	0.0	0.0	0.0	0.0
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	ICDHxm	2.31	1.702	2.396	0.498	2.438	0.622	0.0	2.358	0.222	0.0	0.0	0.0
3PGAREARR-RXN	SBP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN-14047 //  ACONITATEDEHYDR-RXN //  ACONITATEHYDR-RXN	ACONTa	97.42	97.495	97.136	99.404	0.0	0.0	0.505	1.443	0.0	2.097	2.706	0.889
RXN-14047 //  ACONITATEDEHYDR-RXN //  ACONITATEHYDR-RXN	y000280	2.31	2.041	2.396	0.498	2.438	1.247	0.836	2.488	0.222	0.402	0.0	0.0
