carbon source,,glucose,glucose,glucose,glucose,glucose,glucose,glucose,citric acid,citric acid,citric acid,citric acid,citric acid,citric acid,citric acid,malic acid,malic acid,malic acid,malic acid,malic acid,malic acid,malic acid
genotype,,wild-type,GDH1,GND1,IDP1,MAE1,ZWF1,pos5,wild-type,GDH1,GND1,IDP1,MAE1,ZWF1,pos5,wild-type,GDH1,GND1,IDP1,MAE1,ZWF1,pos5
RxnId,RxnName,,,,,,,,,,,,,,,,,,,,,
xAMINOACID,Amino acid composition,9.400256138686592,8.952996584667614,9.35232502709272,9.353128351715952,9.331363194492383,9.35232502709255,9.400256138686553,7.463657809743237,7.325048566775966,7.463657809743293,7.4019372103719325,7.33179602853202,7.463657809743381,7.463657809743381,5.058704789458701,4.9184056494319845,5.043128880947106,5.0518302877419385,4.937206613614332,5.043128880947052,5.058704789458647
xBIOMASS,Biomass production,9.400256138686592,8.952996584667614,9.35232502709272,9.353128351715952,9.331363194492383,9.35232502709255,9.400256138686553,7.463657809743237,7.325048566775966,7.463657809743293,7.4019372103719325,7.33179602853202,7.463657809743381,7.463657809743381,5.058704789458701,4.9184056494319845,5.043128880947106,5.0518302877419385,4.937206613614332,5.043128880947052,5.058704789458647
xLIPID,Lipids pool,0.009400256138686591,0.008952996584667614,0.009352325027092719,0.009353128351715952,0.009331363194492383,0.00935232502709255,0.009400256138686553,0.007463657809743237,0.007325048566775966,0.0074636578097432935,0.0074019372103719325,0.00733179602853202,0.007463657809743382,0.007463657809743382,0.0050587047894587005,0.004918405649431985,0.005043128880947105,0.005051830287741938,0.0049372066136143325,0.0050431288809470514,0.0050587047894586476
xMAINTENANCE,Non-growth associated maintenance (NGAM),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xPOOL_AC_EM,Acyl-CoAs pool,0.6962134564268805,0.6630879633095189,0.6926635228526432,0.6927230196795725,0.6911110215471035,0.6926635228526308,0.6962134564268777,0.5527827034333183,0.4375607593954842,0.4458405632846981,0.4331376867949731,0.4290332492149551,0.4367493788263388,0.4367493788263388,0.29601922151062243,0.012458926613545366,0.012774865903471789,0.012796907637403125,0.012506551768871636,0.012774865903471551,0.01281432159601039
xPOOL_AC_LP,Acyl-CoAs pool,0.36649983272398506,0.349061951318015,0.36463108105145,0.364662401298015,0.3638138152207888,0.3646310810514434,0.3664998327239835,0.2909951918780541,0.3905471496594242,0.3979373320266806,0.4036626006514068,0.39983747067940323,0.4070285164850499,0.4070285164850499,0.2758750679996657,0.5435743312011041,0.557358543400824,0.5583202089721778,0.545652183712626,0.5573585434008183,0.5590799679142716
xPOOL_AC_MM,Acyl-CoAs pool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xPOOL_FA_EM,Fatty acids pool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xPOOL_FA_EN,Fatty acids pool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xPOOL_FA_LP,Fatty acids pool,0.031156264299831905,0.029673864600286357,0.030997401141320984,0.031000063685182638,0.03092792511991587,0.03099740114132042,0.031156264299831773,0.02473759139464846,0.024278184103551894,0.02473759139464865,0.02453302427664812,0.024300547930528844,0.024737591394648942,0.024737591394648942,0.016766600942559228,0.01630159264669781,0.01671497605966906,0.016743816053588424,0.016363906673093984,0.016714976059668884,0.016766600942559055
xPOOL_FA_MI,Fatty acids pool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xPOOL_FA_MM,Fatty acids pool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y000001,(R)-lactate:ferricytochrome-c 2-oxidoreductase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y000002,(R)-lactate:ferricytochrome-c 2-oxidoreductase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y000004,(S)-lactate:ferricytochrome-c 2-oxidoreductase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
