GeneId	GeneName	RxnId	RxnName	RxnEqn
YALI0A00264g	Q0045	y000665	isoleucyl-tRNA synthetase	ATP[c] + L-isoleucine[c] + tRNA(Ile)[c] --> AMP[c] + diphosphate[c] + Ile-tRNA(Ile)[c]
YALI0A01133g	Q0080	y001082	uroporphyrinogen methyltransferase	2.0 S-adenosyl-L-methionine[c] + uroporphyrinogen III[c] --> H+[c] + precorrin-2[c] + 2.0 S-adenosyl-L-homocysteine[c]
YALI0A02310g	Q0085	y001084	UTP-glucose-1-phosphate uridylyltransferase	D-glucose 1-phosphate[c] + H+[c] + UTP[c] <=> diphosphate[c] + UDP-D-glucose[c]
YALI0A02453g	Q0105	y001246	phosphatidylinositol 4-kinase	1-phosphatidyl-1D-myo-inositol[ce] + ATP[ce] --> 1-phosphatidyl-1D-myo-inositol 4-phosphate[ce] + H+[ce] + ADP[ce]
YALI0A02453g	Q0105	y001059	phosphatidylinositol 4-kinase	1-phosphatidyl-1D-myo-inositol[vm] + ATP[vm] --> 1-phosphatidyl-1D-myo-inositol 4-phosphate[vm] + H+[vm] + ADP[vm]
YALI0A02541g	Q0130	y000350	dihydropteroate synthase	2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol[m] + 4-aminobenzoate[m] --> 7,8-dihydropteroate[m] + H2O[m]
YALI0A02541g	Q0130	y000017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol[m] + ATP[m] --> (2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate[m] + AMP[m] + H+[m]
YALI0A02541g	Q0130	y000347	dihydroneopterin aldolase	7,8-dihydroneopterin[m] --> 2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol[m] + glycolaldehyde[m]
YALI0A02541g	Q0130	y000351	dihydropteroate synthase	(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate[m] + 4-aminobenzoate[m] --> 7,8-dihydropteroate[m] + diphosphate[m]
YALI0A02915g	Q0250	y000439	ubiquinol:ferricytochrome c reductase	2.0 ferricytochrome c[m] + 1.266 H+[m] + ubiquinol-6[m] --> 2.0 ferrocytochrome c[m] + 2.532 H+[c] + ubiquinone-6[m]
YALI0A03135g	Q0275	y001102	5-aminolevulinate transport	5-aminolevulinate[e] + H+[e] --> 5-aminolevulinate[c] + H+[c]
YALI0A03135g	Q0275	y001101	4-aminobutyrate transport	gamma-aminobutyrate[e] + H+[e] --> gamma-aminobutyrate[c] + H+[c]
YALI0A03135g	Q0275	y001104	8-Amino-7-oxononanoate transport	8-amino-7-oxononanoate[e] + H+[e] <=> 8-amino-7-oxononanoate[c] + H+[c]
YALI0A04675g	YAL012W	y000073	4PP-IP5 depyrophosphorylation to IP6	4-diphospho-1D-myo-inositol pentakisphosphate[c] + H2O[c] <=> 2.0 H+[c] + myo-inositol hexakisphosphate[c] + phosphate[c]
YALI0A04675g	YAL012W	y000357	diphosphoinositol-1,3,4,6-tetrakisphosphate diphosphohydrolase	5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate[c] + 3.0 H2O[c] --> 6.0 H+[c] + myo-inositol 1,3,4,5,6-pentakisphosphate[c] + 3.0 phosphate[c]
YALI0A04675g	YAL012W	y000082	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase	5-diphospho-1D-myo-inositol pentakisphosphate[c] + H2O[c] --> 2.0 H+[c] + myo-inositol hexakisphosphate[c] + phosphate[c]
