!!SBtab TableType='Compound' TableName='Compound Formation Energies pH=5.0'
!Identifiers:kegg.compound,!Compound,transformed standard Gibbs free energy of formation [kJ/mol],pH,ionic strength [M],temperature [K],!Comment
C00001,H2O,-156.09999999999999,7.0,0.1,298.15,
C00002,ATP,-2292.4000000000001,7.0,0.1,298.15,
C00003,NAD+,1053.5999999999999,7.0,0.1,298.15,
C00004,NADH,1115.0,7.0,0.1,298.15,
C00005,NADPH,235.19999999999999,7.0,0.1,298.15,
C00006,NADP+,173.0,7.0,0.1,298.15,
C00007,Oxygen,16.399999999999999,7.0,0.1,298.15,
C00008,ADP,-1425.8,7.0,0.1,298.15,
C00009,Orthophosphate,-1059.2,7.0,0.1,298.15,
C00010,CoA,1238.9000000000001,7.0,0.1,298.15,
C00011,CO2,-386.0,7.0,0.1,298.15,
C00013,Diphosphate,-1939.2,7.0,0.1,298.15,
C00014,NH3,82.299999999999997,7.0,0.1,298.15,
C00016,FAD,1254.5,7.0,0.1,298.15,
C00020,AMP,-556.79999999999995,7.0,0.1,298.15,
C00022,Pyruvate,-351.19999999999999,7.0,0.1,298.15,
C00024,Acetyl-CoA,1180.3,7.0,0.1,298.15,
C00025,L-Glutamate,-373.69999999999999,7.0,0.1,298.15,
C00026,2-Oxoglutarate,-633.70000000000005,7.0,0.1,298.15,
C00027,Hydrogen peroxide,-52.899999999999999,7.0,0.1,298.15,
C00031,D-Glucose,-429.30000000000001,7.0,0.1,298.15,
C00033,Acetate,-248.30000000000001,7.0,0.1,298.15,
C00036,Oxaloacetate,-714.60000000000002,7.0,0.1,298.15,
C00037,Glycine,-177.19999999999999,7.0,0.1,298.15,
C00041,L-Alanine,-87.200000000000003,7.0,0.1,298.15,
C00042,Succinate,-530.70000000000005,7.0,0.1,298.15,
C00048,Glyoxylate,-428.69999999999999,7.0,0.1,298.15,
C00049,L-Aspartate,-453.19999999999999,7.0,0.1,298.15,
C00051,Glutathione,634.39999999999998,7.0,0.1,298.15,
C00058,Formate,-311.10000000000002,7.0,0.1,298.15,
C00059,Sulfate,-747.0,7.0,0.1,298.15,
C00061,FMN,767.89999999999998,7.0,0.1,298.15,
C00064,L-Glutamine,-122.59999999999999,7.0,0.1,298.15,
C00065,L-Serine,-227.0,7.0,0.1,298.15,
C00067,Formaldehyde,-40.399999999999999,7.0,0.1,298.15,
C00073,L-Methionine,-56.899999999999999,7.0,0.1,298.15,
C00074,Phosphoenolpyruvate,-1188.5999999999999,7.0,0.1,298.15,
C00078,L-Tryptophan,371.89999999999998,7.0,0.1,298.15,
C00079,L-Phenylalanine,238.90000000000001,7.0,0.1,298.15,
C00080,H+,0.0,7.0,0.1,298.15,
C00082,L-Tyrosine,75.299999999999997,7.0,0.1,298.15,
C00084,Acetaldehyde,23.199999999999999,7.0,0.1,298.15,
C00085,D-Fructose 6-phosphoric acid,-1317.4000000000001,7.0,0.1,298.15,
C00086,Urea,-40.600000000000001,7.0,0.1,298.15,
C00087,Sulfur,0.0,7.0,0.1,298.15,
C00088,Nitrite,-32.799999999999997,7.0,0.1,298.15,
C00089,Sucrose,-672.70000000000005,7.0,0.1,298.15,
C00091,Succinyl-CoA,894.20000000000005,7.0,0.1,298.15,
C00092,Glucose 6-phosphate,-1320.5999999999999,7.0,0.1,298.15,
C00093,sn-Glycerol 3-phosphate,-1078.0,7.0,0.1,298.15,
C00094,Sulfite,-490.19999999999999,7.0,0.1,298.15,
C00095,D-arabino-Hexulose,-428.89999999999998,7.0,0.1,298.15,
C00097,L-Cysteine,-55.200000000000003,7.0,0.1,298.15,
C00100,Propanoyl-CoA,1270.7,7.0,0.1,298.15,
C00103,Cori ester,-1313.5999999999999,7.0,0.1,298.15,
C00104,IDP,-1681.2,7.0,0.1,298.15,
C00111,Glycerone phosphate,-1096.0,7.0,0.1,298.15,
C00116,Glycerol,-173.09999999999999,7.0,0.1,298.15,
C00117,D-Ribose-5-phosphate,-1233.7,7.0,0.1,298.15,
C00118,D-Glyceraldehyde 3-phosphate,-1088.4000000000001,7.0,0.1,298.15,
C00119,5-Phospho-alpha-D-ribose 1-diphosphate,-2975.5,7.0,0.1,298.15,
C00121,D-Ribose,-333.30000000000001,7.0,0.1,298.15,
C00122,Fumarate,-523.20000000000005,7.0,0.1,298.15,
