metabolites	zwf1_citric acid_Metabolites (ng/mg DW)_std	zwf1_glucose_Metabolites (ng/mg DW)_std	zwf1_malic acid_Metabolites (ng/mg DW)_std	mae1_citric acid_Metabolites (ng/mg DW)_std	mae1_glucose_Metabolites (ng/mg DW)_std	mae1_malic acid_Metabolites (ng/mg DW)_std	idp1_citric acid_Metabolites (ng/mg DW)_std	idp1_glucose_Metabolites (ng/mg DW)_std	idp1_malic acid_Metabolites (ng/mg DW)_std	wild-type_citric acid_Metabolites (ng/mg DW)_std	wild-type_glucose_Metabolites (ng/mg DW)_std	wild-type_malic acid_Metabolites (ng/mg DW)_std	zwf1_citric acid_Metabolites (ng/mg DW)_mean	zwf1_glucose_Metabolites (ng/mg DW)_mean	zwf1_malic acid_Metabolites (ng/mg DW)_mean	mae1_citric acid_Metabolites (ng/mg DW)_mean	mae1_glucose_Metabolites (ng/mg DW)_mean	mae1_malic acid_Metabolites (ng/mg DW)_mean	idp1_citric acid_Metabolites (ng/mg DW)_mean	idp1_glucose_Metabolites (ng/mg DW)_mean	idp1_malic acid_Metabolites (ng/mg DW)_mean	wild-type_citric acid_Metabolites (ng/mg DW)_mean	wild-type_glucose_Metabolites (ng/mg DW)_mean	wild-type_malic acid_Metabolites (ng/mg DW)_mean	zwf1_citric acid_$c+\sigma$	zwf1_glucose_$c+\sigma$	zwf1_malic acid_$c+\sigma$	mae1_citric acid_$c+\sigma$	mae1_glucose_$c+\sigma$	mae1_malic acid_$c+\sigma$	idp1_citric acid_$c+\sigma$	idp1_glucose_$c+\sigma$	idp1_malic acid_$c+\sigma$	wild-type_citric acid_$c+\sigma$	wild-type_glucose_$c+\sigma$	wild-type_malic acid_$c+\sigma$	zwf1_citric acid_$c-\sigma$	zwf1_glucose_$c-\sigma$	zwf1_malic acid_$c-\sigma$	mae1_citric acid_$c-\sigma$	mae1_glucose_$c-\sigma$	mae1_malic acid_$c-\sigma$	idp1_citric acid_$c-\sigma$	idp1_glucose_$c-\sigma$	idp1_malic acid_$c-\sigma$	wild-type_citric acid_$c-\sigma$	wild-type_glucose_$c-\sigma$	wild-type_malic acid_$c-\sigma$	zwf1_citric acid_$\log\left(c+\sigma\right)$	zwf1_glucose_$\log\left(c+\sigma\right)$	zwf1_malic acid_$\log\left(c+\sigma\right)$	mae1_citric acid_$\log\left(c+\sigma\right)$	mae1_glucose_$\log\left(c+\sigma\right)$	mae1_malic acid_$\log\left(c+\sigma\right)$	idp1_citric acid_$\log\left(c+\sigma\right)$	idp1_glucose_$\log\left(c+\sigma\right)$	idp1_malic acid_$\log\left(c+\sigma\right)$	wild-type_citric acid_$\log\left(c+\sigma\right)$	wild-type_glucose_$\log\left(c+\sigma\right)$	wild-type_malic acid_$\log\left(c+\sigma\right)$	zwf1_citric acid_$\log\left(c-\sigma\right)$	zwf1_glucose_$\log\left(c-\sigma\right)$	zwf1_malic acid_$\log\left(c-\sigma\right)$	mae1_citric acid_$\log\left(c-\sigma\right)$	mae1_glucose_$\log\left(c-\sigma\right)$	mae1_malic acid_$\log\left(c-\sigma\right)$	idp1_citric acid_$\log\left(c-\sigma\right)$	idp1_glucose_$\log\left(c-\sigma\right)$	idp1_malic acid_$\log\left(c-\sigma\right)$	wild-type_citric acid_$\log\left(c-\sigma\right)$	wild-type_glucose_$\log\left(c-\sigma\right)$	wild-type_malic acid_$\log\left(c-\sigma\right)$
2-oxoglutarate	194.34145600275463	4567.2809397083965	129.0318437926691	1656.010820736938	3349.5433253541532	332.9956291717112	494.94308520728396	383.56365847392556	267.9738293322987	509.8658328800385	710.7788698776898	2186.9659481713957	1651.5688827285414	6996.401642104105	1244.8923572855572	5117.942523650257	9181.685456933998	5219.818758955042	3185.597960602155	1983.2569378032695	2297.293328308049	3669.0608348127994	2560.272575304581	5865.250046710812	1845.9103387312962	11563.682581812502	1373.9242010782264	6773.953344387195	12531.228782288152	5552.814388126752	3680.5410458094393	2366.820596277195	2565.2671576403472	4178.926667692838	3271.051445182271	8052.215994882208	1457.2274267257867	2429.1207023957086	1115.860513492888	3461.9317029133185	5832.142131579844	4886.823129783331	2690.654875394871	1599.693279329344	2029.31949897575	3159.195001932761	1849.4937054268912	3678.2840985394164	7.520727843315114	9.355624653936655	7.225426304650828	8.820840145900085	9.435979110303558	8.622060175170041	8.21081504367389	7.769302812926749	7.849817907206589	8.337809714481756	8.092866755076665	8.993702611397689	7.2842908864819815	7.795284619984809	7.017381147220018	8.149582007902428	8.671139644375724	8.494297704633079	7.897539891069386	7.377567189431839	7.615455793656885	8.058072527903818	7.522667207874931	8.210201644850976
Arabitol	33.107456384965275	890.8603600160366	239.95851584915854	239.16829734243868	3800.2336379674784	990.8093008853301	89.41287386327197	229.35252289116923	654.3927900151285	852.6780306356782	1125.7819709005232	2480.3900258451	257.85634445376826	1116.8600576285223	3267.667368765693	1251.5195733514327	2864.785733743313	3567.191642730018	1650.6737282812817	610.442206411074	3050.952613121033	3953.596020072138	2267.434352111681	5059.663589236077	290.9638008387335	2007.720417644559	3507.6258846148517	1490.6878706938714	6665.019371710791	4558.000943615348	1740.0866021445536	839.7947293022432	3705.3454031361616	4806.274050707816	3393.216323012204	7540.053615081177	224.74888806880298	225.99969761248576	3027.7088529165344	1012.351276008994	-935.4479042241655	2576.3823418446877	1561.2608544180098	381.08968351990484	2396.559823105905	3100.9179894364597	1141.652381211158	2579.2735633909774	5.673198863690517	7.604755236876875	8.162694701457983	7.306992950591958	8.804628139091825	8.4246394168296	7.461690162317467	6.733157492095893	8.217531759602482	8.477677437289874	8.129533518428966	8.927984571730192	5.414983725925934	5.42053366127354	8.015561458321708	6.92003090029926		7.854141500839548	7.3532490138050575	5.943034737242888	7.781789580986184	8.039453472261362	7.040231949142186	7.855263073691774
Citrate	1371.4584632443864	32479.698607267703	1484.0595125105683	6407.062687117741	16072.761489436718	2782.997209499597	2659.9916279659424	4617.961193103591	4026.001478614567	10769.469959310543	8921.17010398732	10580.112328448302	31734.31591037261	36785.45931131902	21788.681307946827	74725.10565771627	32568.011630561476	18280.508014905605	43419.55006803746	26758.654298244477	27698.06942541191	97471.51502183678	24533.992516868162	27828.76937215911	33105.774373616994	69265.15791858672	23272.740820457395	81132.168344834	48640.77311999819	21063.505224405202	46079.541696003405	31376.615491348068	31724.070904026477	108240.98498114733	33455.16262085548	38408.88170060741	30362.857447128223	4305.760704051318	20304.62179543626	68318.04297059853	16495.250141124758	15497.510805406007	40759.558440071516	22140.693105140886	23672.067946797346	86702.04506252623	15612.822412880842	17248.65704371081	10.407462998525244	11.145697287008339	10.055038032792188	11.303834811826409	10.792217411250533	9.955297211743662	10.738124349487054	10.353818164872614	10.364831006228655	11.59211536277691	10.417961392088543	10.55604400611807	10.320975345892533	8.367709103702737	9.918603813767971	11.131929183008241	9.71082774821122	9.648434696811258	10.615445654109962	10.005172511334537	10.072051064420526	11.370232750293516	9.655847805165735	9.755489566890336
Erythrose-4P	7.292726587412898	112.69765326164713	3.597795542383585	22.718027041020708	20.01865958461709	43.78759312625708	2.8302266675866377	2.9018496472231448	10.205926659374574	32.592744010497306	13.216339663261369	2.724040250036193	18.656468828682364	121.03556983192607	30.92525736729839	67.95116117449506	33.268773151357365	47.99131938310604	22.61549391819572	34.58628392954802	30.388892462444915	92.1101925121685	43.546723578194104	47.27338213714186	25.94919541609526	233.7332230935732	34.52305290968197	90.66918821551576	53.287432735974456	91.77891250936312	25.445720585782357	37.48813357677116	40.59481912181949	124.7029365226658	56.76306324145547	49.99742238717805	11.363742241269467	8.337916570278935	27.327461824914806	45.23313413347435	13.250113566740275	4.2037262568489595	19.785267250609085	31.684434282324872	20.18296580307034	59.51744850167119	30.330383914932735	44.54934188710567	3.2561406039711223	5.454180392731282	3.541627301171542	4.507217588441705	3.975700519805277	4.519382560011799	3.23654757898673	3.6240244449465426	3.7036404506281557	4.8259344011069265	4.038885819148774	3.911971451842844	2.4304277816922384	2.120813373445357	3.3078921242372905	3.811829874334152	2.5840061234702376	1.4359713359681276	2.9849375824848035	3.4558255281841763	3.0048389715733044	4.08626952169051	3.412149979547604	3.796597381352164
Fructose-6P	29.80926425967093	810.5128841822186	21.534273147110614	21.498597697118186	259.64404662737127	47.28089116710311	8.98610248070227	39.01584707166145	13.121944031629388	66.9918608453464	141.75828812785338	102.05759382887501	211.70828897012996	960.8126855679757	324.7831635194987	256.10617763817703	359.60761855441416	177.01788567172136	189.75930659507029	291.61269986774676	207.23310370433043	428.0741219292109	483.6115482052901	344.43977820024884	241.51755322980088	1771.3255697501943	346.31743666660935	277.60477533529524	619.2516651817855	224.29877683882447	198.74540907577256	330.6285469394082	220.35504773595983	495.06598277455726	625.3698363331434	446.4973720291239	181.89902471045903	150.29980138575706	303.2488903723881	234.60757994105884	99.96357192704289	129.73699450461825	180.773204114368	252.5968527960853	194.11115967270104	361.0822610838645	341.85326007743674	242.38218437137382	5.48694215463263	7.479483454738503	5.847355801473766	5.626198430701175	6.4285117573957855	5.412978988273775	5.2920246542778315	5.800995530538106	5.395240098835735	6.204691052219689	6.438343212861458	6.101433514586184	5.203451723829983	5.0126319753060065	5.714553888699206	5.457914245761605	4.604805838892178	4.865509281990287	5.197243229642249	5.5317947505992064	5.268430982971996	5.889105802412853	5.834381580887204	5.490515754676371
Fumarate	9.419589010400916	807.4889243084536	52.583291694513605	55.6177828800235	323.17676741755207	863.8790178481283	27.941266772206113	101.7265702511907	592.2731614463344	71.96935583265778	144.95034288445936	530.7603845623081	201.6149347748407	906.5616693074502	389.7820880252166	306.52215221360274	438.2677273464528	2108.929368412731	477.0763222596408	523.1619167927007	1756.9982279187252	457.0345994735489	521.0964434576615	1270.4468717043853	211.03452378524162	1714.0505936159038	442.3653797197302	362.13993509362626	761.4444947640048	2972.808386260859	505.0175890318469	624.8884870438914	2349.27138936506	529.0039553062066	666.0467863421209	1801.2072562666935	192.19534576443976	99.07274499899654	337.198796330703	250.90436933357924	115.0909599289007	1245.0503505646027	449.13505548743467	421.43534654151	1164.7250664723908	385.06524364089114	376.14610057320215	739.6864871420772	5.3520217399270695	7.446614616584336	6.092136191539598	5.892030698162421	6.6352172803339515	7.997262369612869	6.224593258434851	6.437573213087756	7.761860511984974	6.270995908779698	6.501359917835934	7.496212416992861	5.2585122806573485	4.595854378272397	5.820672656520804	5.5250718678623505	4.745722771625959	7.126931250301608	6.107323634244971	6.043666376688503	7.0602403437044305	5.953412783932697	5.9299776332721885	6.606226430402189
Glucose-6P	18.34247119347146	1193.7299248521558	24.007448712973755	30.638606604826034	308.48949274291147	42.99453734044285	10.170578544534614	45.64961791023794	15.709872413008485	73.13757519799101	150.02145247129843	98.13561773726072	313.25732659580535	1492.868537337303	407.47753317669964	265.82036598259646	430.8436297284923	178.36853622694844	189.0963230692049	340.1014111590667	206.45821714535847	430.5760848402751	528.6362051015996	354.0419184465377	331.5997977892768	2686.5984621894586	431.4849818896734	296.45897258742247	739.3331224714038	221.36307356739127	199.26690161373952	385.75102906930465	222.16808955836697	503.7136600382661	678.657657572898	452.1775361837984	294.9148554023339	299.1386124851472	383.47008446372587	235.18175937777042	122.35413698558085	135.3739988865056	178.9257445246703	294.4517932488287	190.74834473234998	357.4385096422841	378.61475263030115	255.906300709277	5.803928813457808	7.896031160228488	6.0672327054906185	5.691908836477005	6.605748594036667	5.399804220309052	5.294645140239612	5.955192158950158	5.403434255543949	6.222007971776905	6.520116814218071	6.114074881882383	5.68668668892459	5.700907052874322	5.949261611151145	5.460358659351089	4.806919602031232	4.908041310180279	5.186970884715181	5.685115299536167	5.250954992445919	5.87896334633959	5.936519204287323	5.544811364626122
Glutamate	2.2931748874177664	111.7112416566685	1.6292098558225687	10.786182376854617	42.346796839169954	2.7204020356986116	2.697346699927145	6.1650308339018505	2.8870960951577573	8.896806172854982	17.493334194073082	4.719613386036985	23.96176277598286	132.51938033585657	38.40749431708383	55.318614497594844	91.92260224412996	49.03304249407921	37.86299981604274	40.41504092517278	34.12145821424656	63.48994394389768	63.25193446667502	69.78012778025808	26.254937663400625	244.23062199252507	40.0367041729064	66.10479687444946	134.2693990832999	51.75344452977782	40.56034651596988	46.580071759074634	37.00855430940432	72.38675011675267	80.7452686607481	74.49974116629507	21.668587888565092	20.808138679188062	36.778284461261265	44.532432120740225	49.57580540496001	46.3126404583806	35.16565311611559	34.25001009127093	31.2343621190888	54.5931377710427	45.75860027260194	65.0605143942211	3.2678540728116516	5.498112950999822	3.689796637695113	4.191241314185982	4.899848222639284	3.9464909908922863	3.702790902539577	3.8411728050104963	3.611149083473657	4.282023273206282	4.391299367949606	4.31079565110156	3.0758636490763447	3.03534419282945	3.604907574838243	3.796217735419943	3.9035029204657223	3.8354149358912335	3.560069842489984	3.5336868593438386	3.4415188387452873	3.999908193003199	3.823379758155322	4.175317827472927
Glutamine	6022.531690873305	46275.05673374436	3657.6307978920877	16493.816778861492	39589.59837429084	6049.894273786798	19134.07980013868	11397.726063542616	13151.249627425439	16313.447272538924	19799.20672483279	42181.592463222674	66199.70664695126	83041.69545733475	28482.10948275791	26829.364125729116	104429.9173803485	29132.644337751673	63170.89499684069	86760.81177439968	41323.73545202534	83650.98263408095	146529.47943968012	82741.40212321538	72222.23833782457	129316.75219107911	32139.74028065	43323.18090459061	144019.51575463935	35182.538611538475	82304.97479697937	98158.5378379423	54474.98507945078	99964.42990661987	166328.6861645129	124922.99458643806	60177.17495607796	36766.63872359039	24824.478684865822	10335.547346867625	64840.31900605766	23082.750063964875	44036.81519670201	75363.08571085706	28172.485824599906	67337.53536154203	126730.27271484732	40559.8096599927	11.187503287674685	11.770020117010224	10.377848558382997	10.676443126503026	11.877704095449193	10.468305176334441	11.318186831946198	11.494339183572366	10.905496885915596	11.512569700759844	12.021721146784545	11.735452783143296	11.005048405846507	10.512346156562055	10.119585489090293	9.243344431223198	11.079682895733525	10.046840867075153	10.692781272070496	11.230072854681303	10.24610110066194	11.117473092127572	11.749816270009779	10.610532945453084
Glyceraldehyde-3P	5.062708721445788	109.91448543279333	5.2309601599277675	22.727991987265565	25.783652798981088	4.110474715243647	3.2584855774892443	6.039490165017348	4.823903885212562	6.732099916653361	59.23195261689835	9.454069373046716	21.87651338829707	154.40661749356417	44.894806335968816	41.66744782277439	76.71070250743252	20.418441933501857	30.637318656624966	53.231428738889406	29.42361455014505	50.15208775511301	115.01148163709165	48.81511337477357	26.939222109742857	264.3211029263575	50.125766495896585	64.39543981003996	102.49435530641361	24.528916648745504	33.89580423411421	59.270918903906754	34.24751843535761	56.88418767176637	174.24343425399	58.26918274782028	16.813804666851283	44.49213206077084	39.66384617604105	18.939455835508827	50.92704970845143	16.30796721825821	27.378833079135724	47.19193857387206	24.599710664932488	43.41998783845965	55.7795290201933	39.36104400172685	3.2935832956485833	5.577164663017451	3.9145351771985264	4.165042820200027	4.629807726880714	3.1998526929553575	3.523291237821216	4.082118779372948	3.533614107641171	4.041017405706301	5.160453368896232	4.065073355791831	2.822200255353563	3.795312365916757	3.680440097109665	2.941247356379447	3.930394210855189	2.7916537747917665	3.3097701994902606	3.8542230850782975	3.2027346812810387	3.770919884359357	4.021406938639015	3.672776596266403
