	citric acid	citric acid	citric acid	citric acid	glucose	glucose	glucose	glucose	malic acid	malic acid	malic acid	malic acid
	idp1	mae1	wild-type	zwf1	idp1	mae1	wild-type	zwf1	idp1	mae1	wild-type	zwf1
	FEB189	FEB188	FKP391	FEB184	FEB189	FEB188	FKP391	FEB184	FEB189	FEB188	FKP391	FEB184
xAMINOACID	0.114	0.294	0.297	0.062	0.351	0.636	0.944	0.124	0.156	0.349	0.416	0.137
xBIOMASS	0.114	0.294	0.297	0.062	0.351	0.636	0.944	0.124	0.156	0.349	0.416	0.137
xLIPID	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0
xMAINTENANCE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xPOOL_AC_EM	0.013	0.033	0.034	0.007	0.04	0.072	0.107	0.014	0.018	0.039	0.047	0.015
xPOOL_AC_LP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0
xPOOL_AC_MM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xPOOL_FA_EM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xPOOL_FA_EN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xPOOL_FA_LP	0.0	0.001	0.001	0.0	0.001	0.002	0.003	0.0	0.001	0.001	0.001	0.0
xPOOL_FA_MI	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xPOOL_FA_MM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000005	0.05	0.13	0.131	0.027	0.155	0.281	0.417	0.055	0.069	0.154	0.183	0.06
y000006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000007	0.017	0.044	0.044	0.009	0.052	0.094	0.14	0.018	0.023	0.052	0.062	0.02
y000008	0.005	0.014	0.014	0.003	0.017	0.03	0.045	0.006	0.007	0.017	0.02	0.006
y000009	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000016	0.024	0.062	0.062	0.013	0.074	0.134	0.198	0.026	0.033	0.073	0.087	0.029
y000017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000018	0.038	0.098	0.099	0.021	0.117	0.212	0.315	0.041	0.052	0.117	0.139	0.046
y000019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000020	0.0	0.153	0.0	0.0	0.0	0.331	0.4	0.053	0.0	0.182	0.0	0.0
y000021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000023	-0.048	-0.124	-0.125	-0.026	-0.148	-0.268	-0.398	-0.052	-0.066	-0.147	-0.175	-0.058
y000024	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000025	0.022	0.124	0.125	0.026	0.148	0.268	0.398	0.052	0.066	0.147	0.175	0.058
y000027	0.038	0.098	0.099	0.021	0.117	0.212	0.315	0.041	0.052	0.117	0.139	0.046
y000028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000029	0.0	0.124	0.0	0.0	0.148	0.268	0.398	0.052	0.066	0.147	0.175	0.058
y000030	0.048	0.0	0.125	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000032	0.022	0.057	0.058	0.012	0.069	0.124	0.184	0.024	0.03	0.068	0.081	0.027
y000033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000039	0.048	0.153	0.126	0.026	0.149	0.331	0.4	0.053	0.066	0.182	0.176	0.058
y000040	0.048	0.153	0.126	0.026	0.149	0.331	0.4	0.053	0.066	0.182	0.176	0.058
y000041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000042	0.048	0.0	0.126	0.026	0.149	0.0	0.0	0.0	0.066	0.0	0.176	0.058
y000045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000060	-0.048	-0.124	-0.125	-0.026	-0.148	-0.268	-0.398	-0.052	-0.066	-0.147	-0.175	-0.058
y000061	0.048	0.124	0.125	0.026	0.148	0.268	0.398	0.052	0.066	0.147	0.175	0.058
y000062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000065	0.048	0.153	0.126	0.026	0.149	0.331	0.4	0.053	0.066	0.182	0.176	0.058
y000066	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000067	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000068	1.328	0.423	0.738	0.153	0.0	0.0	0.0	0.0	0.0	2.003	2.116	0.696
y000069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000079	0.028	0.072	0.073	0.015	0.086	0.156	0.231	0.03	0.038	0.085	0.102	0.033
y000080	0.024	0.062	0.063	0.013	0.075	0.135	0.2	0.026	0.033	0.074	0.088	0.029
y000081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000084	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0
y000085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000090	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000091	0.0	0.0	0.0	0.0	2.136	3.814	5.365	0.0	0.232	0.0	0.0	0.0
y000092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000096	0.081	0.21	0.211	0.044	0.25	0.453	0.673	0.088	0.111	0.249	0.296	0.097
y000097	0.081	0.21	0.211	0.044	0.25	0.453	0.673	0.088	0.111	0.249	0.296	0.097
